ticker,date,sentiment_score,uncertainty_score,sentiment_score_qa,uncertainty_score_qa,sector
CTMX,2019-08-07,0.266109,0.009029,0.142698,0.009474,Healthcare
CTMX,2020-11-05,0.378026,0.007222,0.209834,0.009665,Healthcare
CTMX,2020-05-07,0.384219,0.005197,0.112231,0.011301,Healthcare
CTMX,2020-08-06,0.424409,0.006689,0.157681,0.012969,Healthcare
CTMX,2021-02-24,0.374435,0.014469,0.170978,0.009128,Healthcare
CTMX,2022-03-01,0.454676,0.010813,0.164553,0.008922,Healthcare
CTMX,2021-05-07,0.285584,0.012129,0.248714,0.008218,Healthcare
CTMX,2021-11-04,0.399348,0.012941,0.220593,0.006676,Healthcare
CTMX,2022-05-05,0.50615,0.008329,0.15244,0.008215,Healthcare
CTMX,2020-02-27,0.327492,0.008621,0.131956,0.012785,Healthcare
AMZN,2018-10-25,-0.166626,0.031332,0.255634,0.006595,Consumer Cyclical
AMZN,2021-04-29,0.392283,0.012744,0.378863,0.006171,Consumer Cyclical
AMZN,2019-07-25,-0.041528,0.035135,0.260618,0.007094,Consumer Cyclical
AMZN,2018-04-26,-0.178568,0.031662,0.247351,0.006441,Consumer Cyclical
AMZN,2022-02-03,0.345926,0.008976,0.247532,0.007165,Consumer Cyclical
AMZN,2020-07-30,0.5198,0.014103,0.206235,0.010487,Consumer Cyclical
AMZN,2020-10-29,0.43556,0.011772,0.287049,0.008086,Consumer Cyclical
AMZN,2023-10-26,0.46426,0.006155,0.246286,0.005651,Consumer Cyclical
AMZN,2018-07-26,-0.118361,0.03125,0.302648,0.006466,Consumer Cyclical
AMZN,2019-04-25,-0.062742,0.032911,0.177185,0.006601,Consumer Cyclical
AMZN,2020-04-30,0.180592,0.013616,0.193218,0.009804,Consumer Cyclical
AMZN,2021-07-29,0.37432,0.01,0.286302,0.006887,Consumer Cyclical
AMZN,2019-10-24,-0.158466,0.033248,0.237209,0.005554,Consumer Cyclical
AMZN,2020-01-30,-0.114267,0.032432,0.236529,0.005351,Consumer Cyclical
AMZN,2023-02-02,0.25538,0.013052,0.191958,0.008297,Consumer Cyclical
AMZN,2022-07-28,0.228676,0.013768,0.154177,0.005325,Consumer Cyclical
AMZN,2023-04-27,0.246235,0.012156,0.201115,0.006294,Consumer Cyclical
AMZN,2022-10-27,0.42031,0.013022,0.037399,0.005793,Consumer Cyclical
AMZN,2023-08-03,0.384804,0.006381,0.209254,0.004556,Consumer Cyclical
AMZN,2021-10-28,0.194761,0.009747,0.251988,0.004667,Consumer Cyclical
AMZN,2021-02-02,0.4357,0.011721,0.168351,0.006543,Consumer Cyclical
AMZN,2018-02-01,-0.126386,0.030738,0.27346,0.006942,Consumer Cyclical
AMZN,2018-01-31,-0.138215,0.03125,0.257161,0.006054,Consumer Cyclical
AMZN,2022-04-28,0.11939,0.014493,0.200008,0.00749,Consumer Cyclical
CMCO,2020-02-04,0.231369,0.008323,0.112133,0.008733,Industrials
CMCO,2020-07-30,0.02737,0.011472,0.181414,0.009183,Industrials
CMCO,2019-05-29,0.37807,0.00837,0.315237,0.006423,Industrials
CMCO,2020-10-29,0.153882,0.010333,0.196405,0.010413,Industrials
CMCO,2019-11-07,0.284539,0.007047,0.057013,0.005122,Industrials
CMCO,2019-01-31,0.31048,0.009795,0.182232,0.008299,Industrials
CMCO,2020-05-27,0.280392,0.006925,0.137403,0.012001,Industrials
CMCO,2021-07-30,0.572222,0.006767,0.26838,0.005473,Industrials
CMCO,2019-07-30,0.321567,0.00854,0.176883,0.007077,Industrials
CMCO,2021-10-28,0.547065,0.009492,0.241026,0.009726,Industrials
CMCO,2021-01-28,0.16634,0.009147,0.229563,0.009509,Industrials
CMCO,2021-05-26,0.100496,0.009694,0.204622,0.009278,Industrials
CNP,2019-11-07,0.34914,0.015245,0.158005,0.010659,Utilities
CNP,2019-05-09,0.070755,0.014857,0.11248,0.012221,Utilities
CNP,2019-08-07,0.455315,0.013872,0.114319,0.011387,Utilities
CNP,2018-08-03,0.256765,0.009642,0.171548,0.009353,Utilities
CNP,2020-11-05,0.456065,0.00681,0.18616,0.005851,Utilities
CNP,2020-05-07,0.228971,0.019458,0.142988,0.009118,Utilities
CNP,2021-02-25,0.49948,0.008507,0.136268,0.010566,Utilities
CNP,2020-08-06,0.251648,0.01331,0.202348,0.009217,Utilities
CNP,2018-11-01,0.244342,0.012899,0.152072,0.013428,Utilities
CNP,2021-08-05,0.510035,0.007018,0.250537,0.004792,Utilities
CNP,2021-11-04,0.548089,0.013346,0.153327,0.009983,Utilities
CNP,2019-02-28,0.204065,0.013966,0.168143,0.014398,Utilities
CNP,2021-05-06,0.478991,0.008916,0.226405,0.011231,Utilities
CNP,2020-02-27,0.375632,0.014904,0.173806,0.009543,Utilities
ECPG,2019-02-27,0.51213,0.005745,0.160701,0.01113,Financial Services
ECPG,2021-05-05,0.476165,0.009206,0.019236,0.010972,Financial Services
ECPG,2019-08-07,0.429681,0.007716,0.183596,0.006844,Financial Services
ECPG,2019-05-08,0.606224,0.007636,0.134772,0.00725,Financial Services
ECPG,2019-11-06,0.590187,0.005287,0.14401,0.011794,Financial Services
ECPG,2020-05-11,0.099544,0.00709,0.044704,0.012093,Financial Services
ECPG,2021-11-03,0.364444,0.005521,0.074742,0.008215,Financial Services
ECPG,2021-02-24,0.351298,0.008535,0.082588,0.010646,Financial Services
ECPG,2020-02-26,0.616534,0.005892,0.077472,0.008567,Financial Services
ECPG,2021-08-04,0.531588,0.006594,0.019482,0.009991,Financial Services
RCL,2018-10-25,0.342,0.008658,0.212327,0.007862,Consumer Cyclical
RCL,2023-02-07,0.590445,0.004898,0.300731,0.007721,Consumer Cyclical
RCL,2020-05-20,0.160797,0.006759,0.155797,0.009399,Consumer Cyclical
RCL,2020-02-04,0.407402,0.00559,0.120273,0.010243,Consumer Cyclical
RCL,2021-04-29,0.371904,0.006836,0.200574,0.007306,Consumer Cyclical
RCL,2019-07-25,0.527273,0.006227,0.264435,0.006607,Consumer Cyclical
RCL,2020-10-29,0.242522,0.006969,0.149672,0.009457,Consumer Cyclical
RCL,2023-10-26,0.680862,0.004129,0.319139,0.007378,Consumer Cyclical
RCL,2022-02-04,0.617285,0.007566,0.21276,0.008083,Consumer Cyclical
RCL,2019-10-30,0.386457,0.007332,0.212993,0.009381,Consumer Cyclical
RCL,2023-05-04,0.633121,0.003859,0.306239,0.006502,Consumer Cyclical
RCL,2022-11-03,0.578315,0.004449,0.231526,0.008198,Consumer Cyclical
RCL,2019-01-30,0.631286,0.007444,0.279974,0.009544,Consumer Cyclical
RCL,2020-08-10,0.049273,0.004429,0.178914,0.010024,Consumer Cyclical
RCL,2022-07-28,0.552139,0.003936,0.301869,0.005007,Consumer Cyclical
RCL,2019-05-01,0.428565,0.00845,0.226013,0.009112,Consumer Cyclical
RCL,2021-10-29,0.39781,0.007483,0.256267,0.007308,Consumer Cyclical
RCL,2023-07-27,0.708905,0.00444,0.346327,0.008966,Consumer Cyclical
RCL,2021-08-04,0.339073,0.006352,0.191956,0.006012,Consumer Cyclical
RCL,2021-02-22,0.274603,0.006699,0.215503,0.008291,Consumer Cyclical
RCL,2022-05-05,0.578536,0.003023,0.283845,0.007193,Consumer Cyclical
AUDC,2021-10-26,0.350945,0.006708,0.218223,0.010642,Technology
AUDC,2021-01-26,0.374687,0.006383,0.181763,0.01019,Technology
AUDC,2020-01-28,0.354977,0.004555,0.262208,0.008018,Technology
AUDC,2020-04-27,0.362846,0.005492,0.15294,0.010536,Technology
AUDC,2018-10-23,0.283102,0.01118,0.351039,0.008046,Technology
AUDC,2019-04-30,0.452555,0.004849,0.162377,0.006501,Technology
AUDC,2020-10-27,0.222331,0.005661,0.100102,0.010662,Technology
AUDC,2021-07-27,0.301186,0.005319,0.15877,0.006272,Technology
AUDC,2019-01-28,0.412332,0.004364,0.243076,0.009524,Technology
AUDC,2019-10-29,0.459889,0.004135,0.17827,0.007921,Technology
AUDC,2020-07-28,0.238945,0.005518,0.14549,0.011189,Technology
AUDC,2021-04-27,0.38275,0.004114,0.183112,0.008957,Technology
TFC,2019-04-18,0.155094,0.004491,0.190489,0.007343,Financial Services
TFC,2019-01-17,0.349919,0.004767,0.193291,0.010856,Financial Services
TFC,2021-07-15,0.326847,0.007242,0.230723,0.010395,Financial Services
TFC,2019-10-17,0.126642,0.005815,0.149318,0.009954,Financial Services
TFC,2020-04-20,0.233481,0.010929,0.086884,0.01115,Financial Services
TFC,2019-07-18,0.387919,0.004278,0.077422,0.011171,Financial Services
TFC,2018-10-18,0.310008,0.002391,0.163832,0.011168,Financial Services
TFC,2021-04-15,0.145478,0.007534,0.196156,0.011592,Financial Services
TFC,2020-01-30,0.204305,0.005442,0.117106,0.00774,Financial Services
TFC,2021-10-15,0.337783,0.008252,0.155055,0.010493,Financial Services
AAPL,2021-01-27,0.5114,0.006726,0.20684,0.009154,Technology
AAPL,2021-04-28,0.511871,0.007467,0.228902,0.006829,Technology
AAPL,2018-02-02,0.590235,0.004856,0.064425,0.010072,Technology
AAPL,2020-07-30,0.513026,0.005272,0.184341,0.009782,Technology
AAPL,2020-10-29,0.520298,0.004044,0.219793,0.005741,Technology
AAPL,2020-01-28,0.507446,0.002482,0.157906,0.006371,Technology
AAPL,2019-10-30,0.514935,0.005313,0.191202,0.011117,Technology
AAPL,2018-07-31,0.587714,0.004388,0.217281,0.010807,Technology
AAPL,2020-04-30,0.290381,0.005339,0.081616,0.008677,Technology
AAPL,2018-05-01,0.521606,0.007092,0.133582,0.011081,Technology
AAPL,2019-01-29,0.223343,0.005447,0.113249,0.00937,Technology
AAPL,2019-04-30,0.375327,0.003009,0.187204,0.008367,Technology
AAPL,2021-07-27,0.505717,0.005803,0.218333,0.009005,Technology
AAPL,2023-02-02,0.190771,0.004814,0.198299,0.005079,Technology
AAPL,2022-07-28,0.388648,0.00783,0.014161,0.010769,Technology
AAPL,2018-11-01,0.531688,0.004551,0.087953,0.007832,Technology
AAPL,2019-07-30,0.508888,0.002693,0.16126,0.004358,Technology
AAPL,2022-10-27,0.443123,0.005174,0.109196,0.010334,Technology
AAPL,2021-10-28,0.51096,0.005098,0.106037,0.007647,Technology
AAPL,2022-01-27,0.357714,0.005639,0.244983,0.009624,Technology
AAPL,2022-04-28,0.405283,0.007304,0.119072,0.008443,Technology
PANW,2020-02-24,0.350827,0.007407,0.193594,0.006294,Technology
PANW,2018-11-29,0.36896,0.005862,0.241341,0.00782,Technology
PANW,2020-05-21,0.472972,0.006977,0.191831,0.008294,Technology
PANW,2019-05-29,0.363888,0.006803,0.217118,0.005314,Technology
PANW,2018-07-27,0.42254,0.011104,0.274797,0.007815,Technology
PANW,2019-09-04,0.216367,0.006899,0.08795,0.007987,Technology
PANW,2018-02-26,0.368438,0.009386,0.221404,0.006543,Technology
PANW,2019-11-25,0.349512,0.007966,0.202591,0.008945,Technology
PANW,2018-09-06,0.242853,0.007231,0.255879,0.005072,Technology
PANW,2018-10-26,0.424647,0.004158,0.145718,0.011091,Technology
CVGI,2019-11-07,0.246757,0.0119,0.164886,0.0123,Consumer Cyclical
CVGI,2021-03-10,0.595961,0.008299,0.110622,0.005682,Consumer Cyclical
CVGI,2020-11-09,0.001682,0.007826,0.155152,0.002928,Consumer Cyclical
CVGI,2020-03-17,-0.224105,0.012722,0.212809,0.00533,Consumer Cyclical
CVGI,2019-05-07,0.335308,0.009346,0.226381,0.014042,Consumer Cyclical
CVGI,2019-08-09,0.276227,0.01116,0.08975,0.012609,Consumer Cyclical
CVGI,2021-11-03,0.306313,0.008515,-0.039702,0.005997,Consumer Cyclical
CVGI,2020-08-10,-0.004608,0.004918,0.139549,0.005032,Consumer Cyclical
CVGI,2021-05-06,0.500205,0.007727,0.147549,0.007539,Consumer Cyclical
CVGI,2020-05-19,-0.089372,0.007238,0.124647,0.009169,Consumer Cyclical
CVGI,2021-08-04,0.515483,0.006298,0.197342,0.005996,Consumer Cyclical
PM,2019-04-18,0.360425,0.018141,0.243721,0.0087,Consumer Defensive
PM,2020-04-21,0.118475,0.010695,0.056258,0.011218,Consumer Defensive
PM,2019-02-07,0.290563,0.014199,0.209958,0.007119,Consumer Defensive
PM,2019-10-17,0.200524,0.017506,0.143491,0.007699,Consumer Defensive
PM,2020-07-21,0.311068,0.008531,0.167134,0.011228,Consumer Defensive
PM,2019-07-18,0.400436,0.018625,0.206849,0.00691,Consumer Defensive
PM,2018-10-18,0.265464,0.012537,0.163705,0.00873,Consumer Defensive
PM,2021-04-20,0.554433,0.006495,0.236763,0.00921,Consumer Defensive
PM,2021-10-19,0.608516,0.006365,0.142154,0.015128,Consumer Defensive
PM,2021-02-04,0.548881,0.007313,0.153961,0.01185,Consumer Defensive
PM,2018-07-19,0.24721,0.01528,0.265767,0.007507,Consumer Defensive
PM,2021-07-20,0.631351,0.006558,0.259986,0.010187,Consumer Defensive
PM,2020-02-06,0.40056,0.010222,0.23127,0.006931,Consumer Defensive
PM,2020-10-20,0.528996,0.00699,0.149638,0.010735,Consumer Defensive
KHC,2020-02-13,0.239374,0.006943,0.101105,0.004655,Consumer Defensive
KHC,2021-04-29,0.329097,0.011547,0.229542,0.007246,Consumer Defensive
KHC,2021-10-27,0.310567,0.006961,0.333169,0.005189,Consumer Defensive
KHC,2021-02-11,0.036362,0.023474,0.265145,0.007104,Consumer Defensive
KHC,2019-02-21,0.367067,0.005585,0.138759,0.00822,Consumer Defensive
KHC,2018-08-03,0.508379,0.008496,0.211402,0.00617,Consumer Defensive
KHC,2019-10-31,0.256928,0.006171,0.117711,0.007166,Consumer Defensive
KHC,2019-08-08,0.167253,0.009116,0.151499,0.010582,Consumer Defensive
KHC,2018-11-01,0.2845,0.006028,0.190244,0.009878,Consumer Defensive
KHC,2018-02-16,0.351865,0.006603,0.234578,0.007411,Consumer Defensive
KHC,2021-08-04,0.486141,0.005792,0.260793,0.009846,Consumer Defensive
TEL,2021-01-27,0.507131,0.006787,0.128849,0.009609,Technology
TEL,2019-07-24,-0.16256,0.002983,0.070828,0.005753,Technology
TEL,2021-10-27,0.480812,0.006697,0.149258,0.006751,Technology
TEL,2021-07-28,0.613878,0.006858,0.105352,0.009103,Technology
TEL,2019-04-24,0.243359,0.002724,0.21176,0.006866,Technology
TEL,2019-10-30,-0.207963,0.003783,0.050365,0.007771,Technology
TEL,2020-01-29,-0.108291,0.003115,0.074661,0.006237,Technology
TEL,2020-10-28,-0.028178,0.009041,0.058581,0.009156,Technology
TEL,2021-04-21,0.435726,0.005097,0.10734,0.008501,Technology
TEL,2020-04-28,-0.203703,0.008899,0.104503,0.006636,Technology
TEL,2018-10-31,0.38474,0.002706,0.098997,0.007886,Technology
TEL,2019-01-23,-0.159851,0.005972,0.043093,0.010759,Technology
TEL,2020-07-29,0.21892,0.008777,0.156584,0.006445,Technology
DENN,2021-05-04,0.106025,0.013134,0.176486,0.009426,Unknown
DENN,2021-02-16,0.128999,0.01374,0.09204,0.00979,Unknown
DENN,2019-04-30,0.322548,0.012863,-0.014445,0.009091,Unknown
DENN,2021-08-03,0.311926,0.01663,0.180572,0.010217,Unknown
DENN,2020-10-27,0.034654,0.013581,0.102648,0.009831,Unknown
DENN,2021-11-02,0.417483,0.014687,0.152992,0.008501,Unknown
DENN,2019-10-29,0.310382,0.011198,0.102266,0.007095,Unknown
DENN,2019-07-30,0.436949,0.011894,0.106683,0.008465,Unknown
DENN,2020-05-14,-0.058097,0.009073,0.109534,0.011063,Unknown
DENN,2020-07-28,-0.037624,0.011074,-0.015842,0.010086,Unknown
DENN,2020-02-11,0.29789,0.013556,0.148375,0.006249,Unknown
DENN,2019-02-12,0.380881,0.011277,0.161775,0.009469,Unknown
CGC,2022-11-09,0.424694,0.004688,0.23314,0.005952,Healthcare
CGC,2022-05-27,0.452886,0.004662,0.206742,0.00672,Healthcare
CGC,2021-08-06,0.333873,0.003655,0.307936,0.004601,Healthcare
CGC,2020-02-14,0.366161,0.007391,0.148264,0.007302,Healthcare
CGC,2018-11-14,0.174617,0.005825,0.084366,0.010008,Healthcare
CGC,2018-08-15,0.311095,0.006871,0.131989,0.008971,Healthcare
CGC,2020-11-09,0.480895,0.002646,0.292628,0.006818,Healthcare
CGC,2022-02-09,0.224772,0.004542,0.177831,0.005967,Healthcare
CGC,2023-06-22,0.271066,0.005225,0.182088,0.006687,Healthcare
CGC,2023-11-09,0.188372,0.005903,0.273291,0.005639,Healthcare
CGC,2023-08-09,0.301482,0.004462,0.255946,0.009276,Healthcare
CGC,2021-02-09,0.57327,0.006389,0.311862,0.010442,Healthcare
CGC,2020-08-10,0.294768,0.005071,0.272626,0.008919,Healthcare
CGC,2020-05-29,0.273854,0.005884,0.241853,0.006029,Healthcare
CGC,2019-08-15,0.353179,0.003905,0.215715,0.006087,Healthcare
CGC,2023-02-09,0.068995,0.005854,0.203078,0.008225,Healthcare
CGC,2021-11-05,0.282483,0.003494,0.274862,0.006291,Healthcare
CGC,2021-06-01,0.483297,0.003868,0.218964,0.007373,Healthcare
CGC,2019-11-14,0.155131,0.005518,0.120638,0.007104,Healthcare
CMCSA,2018-01-24,0.63295,0.004463,0.239483,0.006632,Communication Services
CMCSA,2021-04-29,0.460003,0.004278,0.325633,0.005639,Communication Services
CMCSA,2019-07-25,0.597364,0.004173,0.261644,0.006158,Communication Services
CMCSA,2020-01-23,0.483931,0.003834,0.238689,0.005564,Communication Services
CMCSA,2020-07-30,0.216391,0.00334,0.194722,0.005344,Communication Services
CMCSA,2020-10-29,0.220048,0.006322,0.203997,0.006337,Communication Services
CMCSA,2020-04-30,-0.035022,0.007716,0.121187,0.005256,Communication Services
CMCSA,2021-07-29,0.51549,0.004032,0.253461,0.005386,Communication Services
CMCSA,2019-10-24,0.287393,0.00305,0.23207,0.004583,Communication Services
CMCSA,2018-04-25,0.526882,0.004447,0.221976,0.006795,Communication Services
CMCSA,2019-01-23,0.723655,0.003831,0.266975,0.006138,Communication Services
CMCSA,2021-10-28,0.500673,0.001874,0.216468,0.004854,Communication Services
CMCSA,2021-01-28,0.220685,0.003766,0.252418,0.007457,Communication Services
CSWI,2020-05-20,0.310586,0.003988,0.078654,0.006549,Unknown
CSWI,2020-02-04,0.561174,0.006466,0.228917,0.003824,Unknown
CSWI,2019-05-22,0.578552,0.0051,0.207079,0.006263,Unknown
CSWI,2020-08-03,0.191868,0.00833,0.13896,0.007266,Unknown
CSWI,2019-11-05,0.434269,0.006719,0.058186,0.008915,Unknown
CSWI,2021-02-05,0.372704,0.005488,0.242424,0.009456,Unknown
CSWI,2021-11-03,0.383815,0.007852,0.017886,0.008264,Unknown
CSWI,2020-10-30,0.314506,0.008394,0.125492,0.00945,Unknown
CSWI,2021-05-20,0.411797,0.007931,0.371311,0.006603,Unknown
CSWI,2019-08-08,0.590003,0.00669,0.246348,0.00647,Unknown
CSWI,2021-08-04,0.286686,0.004587,0.302396,0.006971,Unknown
DOMO,2023-03-06,0.176227,0.006437,0.194427,0.006866,Technology
DOMO,2020-09-03,0.461413,0.006148,0.268351,0.007153,Technology
DOMO,2022-05-26,0.391366,0.006577,0.204197,0.005791,Technology
DOMO,2021-08-26,0.476465,0.009709,0.281476,0.007263,Technology
DOMO,2022-08-25,0.366186,0.008875,0.162288,0.006163,Technology
DOMO,2023-05-25,0.383783,0.007501,0.206896,0.004024,Technology
DOMO,2022-12-08,0.296532,0.00583,0.155334,0.008313,Technology
DOMO,2021-03-11,0.547483,0.004312,0.252076,0.004697,Technology
DOMO,2020-12-03,0.38418,0.005689,0.306235,0.006389,Technology
DOMO,2023-11-30,0.390058,0.003825,0.193034,0.009609,Technology
DOMO,2023-08-24,0.291414,0.00918,0.181884,0.003753,Technology
DOMO,2019-09-05,0.343876,0.007771,0.126489,0.006182,Technology
DOMO,2021-05-27,0.511345,0.005212,0.235209,0.006002,Technology
DOMO,2022-03-01,0.384065,0.005603,0.279246,0.004684,Technology
DOMO,2019-12-05,0.441056,0.009408,0.328713,0.007251,Technology
DOMO,2019-03-13,0.479322,0.009298,0.252157,0.005654,Technology
DOMO,2021-12-02,0.474716,0.005153,0.176904,0.006875,Technology
DOMO,2020-03-10,0.389379,0.008138,0.162274,0.007014,Technology
DOMO,2019-06-06,0.332571,0.005289,0.226094,0.00646,Technology
ANET,2019-08-01,0.28285,0.010384,0.139948,0.007924,Technology
ANET,2022-02-14,0.420659,0.012621,0.211915,0.009109,Technology
ANET,2020-11-02,0.303412,0.00978,0.166251,0.008022,Technology
ANET,2019-05-02,0.007224,0.012714,0.135273,0.007638,Technology
ANET,2021-05-04,0.271591,0.011041,0.208397,0.00769,Technology
ANET,2020-02-13,0.083234,0.011672,0.070546,0.009637,Technology
ANET,2021-11-01,0.304736,0.011686,0.206064,0.008748,Technology
ANET,2023-10-30,0.191856,0.010848,0.196693,0.006879,Technology
ANET,2020-08-04,-0.052496,0.015136,0.177366,0.007129,Technology
ANET,2018-08-02,0.236255,0.008564,0.142889,0.008254,Technology
ANET,2019-10-31,0.074648,0.016243,0.051479,0.010955,Technology
ANET,2022-05-02,0.316772,0.016441,0.132889,0.011939,Technology
ANET,2021-08-02,0.337217,0.011933,0.151682,0.008195,Technology
ANET,2020-05-05,-0.088032,0.016725,0.153864,0.00993,Technology
ANET,2018-11-01,0.377031,0.010382,0.204514,0.008452,Technology
ANET,2022-08-01,0.28165,0.011514,0.134017,0.010717,Technology
ANET,2019-02-14,0.380824,0.011226,0.2143,0.010827,Technology
ANET,2018-05-03,0.122603,0.011364,0.128394,0.006778,Technology
ANET,2023-05-01,0.200486,0.009872,0.154641,0.008324,Technology
ANET,2023-02-13,0.40113,0.008982,0.137586,0.007479,Technology
ANET,2022-10-31,0.227577,0.010922,0.131403,0.012142,Technology
ANET,2023-07-31,0.201131,0.01015,0.200476,0.009656,Technology
ANET,2021-02-18,0.302799,0.013209,0.201714,0.010444,Technology
BRO,2021-10-26,0.545819,0.013948,0.141331,0.012494,Financial Services
BRO,2021-01-26,0.405311,0.012336,0.137159,0.011895,Financial Services
BRO,2019-04-23,0.208117,0.013703,0.050644,0.013868,Financial Services
BRO,2020-01-28,0.183543,0.012497,0.060532,0.012432,Financial Services
BRO,2018-10-23,0.193927,0.011621,0.069326,0.01022,Financial Services
BRO,2019-07-23,0.280497,0.010309,0.074198,0.012178,Financial Services
BRO,2019-01-29,-0.154385,0.012903,0.101722,0.010682,Financial Services
BRO,2020-10-27,0.359404,0.011335,0.052682,0.016207,Financial Services
BRO,2021-07-27,0.539625,0.012865,0.14323,0.010319,Financial Services
BRO,2020-04-28,0.236323,0.017715,0.050476,0.015851,Financial Services
BRO,2019-10-29,0.198402,0.012843,0.124182,0.013861,Financial Services
BRO,2020-07-28,0.100247,0.015506,0.025474,0.017024,Financial Services
BRO,2021-04-27,0.482975,0.014194,0.181321,0.015015,Financial Services
CAH,2018-11-08,0.478244,0.006607,0.134314,0.008771,Healthcare
CAH,2019-02-07,0.470942,0.007598,0.136151,0.012964,Healthcare
CAH,2019-11-07,0.442995,0.006823,0.055714,0.011675,Healthcare
CAH,2019-05-09,0.438896,0.003824,0.086431,0.008622,Healthcare
CAH,2020-11-05,0.42488,0.008457,0.186881,0.009339,Healthcare
CAH,2020-05-11,0.298026,0.007664,0.118833,0.008742,Healthcare
CAH,2021-02-05,0.328967,0.005331,0.129474,0.007,Healthcare
CAH,2020-08-06,0.270518,0.012152,0.078049,0.012101,Healthcare
CAH,2019-08-08,0.367736,0.006701,0.122209,0.008551,Healthcare
CAH,2018-08-06,0.403375,0.006452,0.117456,0.012042,Healthcare
CAH,2021-08-05,0.25868,0.01069,0.119929,0.009294,Healthcare
CAH,2021-11-09,0.376036,0.006863,0.149826,0.008671,Healthcare
CAH,2020-02-06,0.271325,0.006085,0.198654,0.010346,Healthcare
CAH,2021-05-06,0.267346,0.006257,0.119492,0.007632,Healthcare
AHCO,2022-05-10,0.570736,0.005911,0.255326,0.006639,Healthcare
AHCO,2022-08-09,0.415448,0.006474,0.210254,0.00914,Healthcare
AHCO,2022-02-24,0.238573,0.011194,0.068231,0.008092,Healthcare
AHCO,2020-11-04,0.458092,0.008052,0.220911,0.010851,Healthcare
AHCO,2020-08-04,0.443059,0.007222,0.173023,0.009102,Healthcare
